title,url,time,source
雷军现身这家老字号吃早餐，网友：这是和老上海打探过了吧,https://www.thepaper.cn/newsDetail_forward_34076443,2026-09-16 07:09:39,申江服务导报
浦东老地名：县城闹市牌楼桥,https://www.thepaper.cn/newsDetail_forward_34062521,2026-09-16 07:06:20,图溯上海
“上海甜品界，又有大动作了”,https://www.thepaper.cn/newsDetail_forward_34062630,2026-09-16 07:06:20,魔都吃货小分队
上海名镇记忆｜塔影千年映春潮，千载文脉话龙华,https://www.thepaper.cn/newsDetail_forward_34070385,2026-09-16 07:06:19,档案春秋
上海浦东100路，一定要坐一次,https://www.thepaper.cn/newsDetail_forward_34071760,2026-09-16 07:06:19,魔都吃货小分队
活动预约 | 上海滩大讲堂·志在上海·鲁迅的上海生活圈,https://www.thepaper.cn/newsDetail_forward_34076428,2026-09-16 07:06:17,方志上海
京沪高速天津段发生车祸，一辆厢式货车与小轿车相撞，货车侧翻后燃起大火,https://www.thepaper.cn/newsDetail_forward_34080648,2026-09-16 06:14:19,哈尔滨日报
上海外国语大学英语学院杨春雷教授逝世，终年50岁,https://www.thepaper.cn/newsDetail_forward_34080155,2026-09-16 06:03:19,澎湃新闻
青岛市民9万元定制上海文信“爱格板”橱柜异味刺鼻9个月无法入住，属地市场监管介入调解,https://www.thepaper.cn/newsDetail_forward_34079448,2026-09-16 05:48:16,山东经济广播
京沪高速天津段发生车祸，一辆厢式货车与小轿车相撞，货车侧翻后燃起大火,https://www.thepaper.cn/newsDetail_forward_34080186,2026-09-16 05:17:55,台州晚报
见微知沪｜一座图书馆，如何“托住”普通人的拼搏和梦想,https://www.thepaper.cn/newsDetail_forward_34074470,2026-09-16 04:33:48,澎湃新闻
阅上海丨嘉定·古猗园——王素柳,https://www.thepaper.cn/newsDetail_forward_34074362,2026-09-16 04:33:21,十里玉见
2026全球资产管理中心评价指数报告发布：上海首次跻身全球前三,https://www.thepaper.cn/newsDetail_forward_34080019,2026-09-16 04:05:00,国际金融报
脑机交互、裸眼3D、特需儿童音乐会，这些文创项目在上海发芽,https://www.thepaper.cn/newsDetail_forward_34079156,2026-09-16 03:24:12,澎湃新闻
浦东新区第29届推普周开幕式举行 经典润乡土 诗词启新章,https://www.thepaper.cn/newsDetail_forward_34075403,2026-09-16 01:56:05,东方财经浦东频道
国际胶粘行业企业齐聚浦东 新能源与电子成为主赛道,https://www.thepaper.cn/newsDetail_forward_34075525,2026-09-16 01:56:04,东方财经浦东频道
北大教授程乐松对话上纽大校长童世骏作家周轶君｜我们常常不是被困在生活里，而是被困在了意见里,https://www.thepaper.cn/newsDetail_forward_34079091,2026-09-16 01:36:47,澎湃新闻
上海一别墅内，女主人通过监控亲眼看到自家保姆正在偷罗意威包；10分钟后警察赶到，从她手机中发现大量销售奢侈品记录；法院判了,https://www.thepaper.cn/newsDetail_forward_34079417,2026-09-16 00:55:00,台州晚报
上海歌剧院新Logo被网友吐槽，院长石倚洁发文回应,https://www.thepaper.cn/newsDetail_forward_34076823,2026-09-15 22:57:48,澎湃新闻
8月全国70城房价数据出炉！上海领跑全国,https://www.thepaper.cn/newsDetail_forward_34076788,2026-09-15 15:15:12,中国城市报
香港芭蕾舞团牵手前滩31，每年都会有精品芭蕾来上海,https://www.thepaper.cn/newsDetail_forward_34075675,2026-09-15 13:59:06,澎湃新闻
上海二类疫苗医保支付新政落地：首日预约接种平稳，流感疫苗接种需求较高,https://www.thepaper.cn/newsDetail_forward_34075911,2026-09-15 13:38:51,澎湃新闻
8岁男孩独自骑车上学险被撞，上海交警“宝宝式”叮嘱一路护送,https://www.thepaper.cn/newsDetail_forward_34075596,2026-09-15 13:34:19,澎湃新闻
上海一别墅内，女主人通过监控亲眼看到自家保姆正在偷包；10分钟后警察赶到，从她手机中发现大量销售奢侈品记录；法院判了,https://www.thepaper.cn/newsDetail_forward_34075936,2026-09-15 12:33:15,钱江晚报
上海地铁一女子被夹在屏蔽门与车厢门之间，目击者：快关门时她跑了上去，夹了约1分钟，工作人员迅速赶到，无人员受伤,https://www.thepaper.cn/newsDetail_forward_34075954,2026-09-15 12:02:36,台州晚报
见微知沪｜8岁孩子受委屈报的警，为何值得被认真对待？,https://www.thepaper.cn/newsDetail_forward_34074147,2026-09-15 11:13:55,澎湃新闻
流行、美声、戏曲、魔术，周六到奉贤“上海之鱼”看一场户外演出！,https://www.thepaper.cn/newsDetail_forward_34077257,2026-09-15 10:38:00,经典947
上海黄金交易所新理事长人选出炉，原中国银联总裁郭大勇获提名,https://www.thepaper.cn/newsDetail_forward_34074363,2026-09-15 09:33:38,澎湃新闻
50公里，一个产业链的闭环：喜看沪启产业相融,https://www.thepaper.cn/newsDetail_forward_34074352,2026-09-15 09:27:32,澎湃新闻
8月上海人民币贷款增加140亿元，人民币存款增加314亿元,https://www.thepaper.cn/newsDetail_forward_34074489,2026-09-15 09:24:26,澎湃新闻
“红色小上海拥抱国际大上海”福建长汀·连城在沪成功举办专场文旅推介会,https://www.thepaper.cn/newsDetail_forward_34074461,2026-09-15 09:05:05,澎湃福建
